,Utterance_ID,Speaker,Utterance,Emotion,Dialogue_ID
2,3,Monica,We should all gather at my place. It'll be the safest.,neutral,1134
3,4,Chandler,What if the storm is really bad? What if we lose power?,fear,1134
4,5,Ross,"Don't worry, I have a backup generator, just in case.",neutral,1134
5,6,Joey,I'm not scared of any storm. I've been through worse!,joy,1134
6,7,Rachel,But what if it's a tornado? We don't have a basement!,fear,1134
7,8,Monica,"Guys, let's just stay calm and prepare for the worst.",neutral,1134
8,9,Phoebe,I heard that the storm could be a category 5. That's terrifying!,fear,1134
9,10,Chandler,"Well, at least we'll all be together. That's the most important thing.",neutral,1134
0,1,Gary,I really like waking up with you.,joy,1135
1,2,Phoebe,I like waking up with you too. But something feels off today...,fear,1135
2,3,Gary,"What's wrong, Phoebe?",neutral,1135
3,4,Phoebe,I had a terrible nightmare last night. It felt so real.,fear,1135
4,5,Gary,"Oh no, that sounds scary. Do you want to talk about it?",fear,1135
5,6,Phoebe,"I don't remember all the details, but it was about losing you.",sadness,1135
6,7,Gary,"I'm here, and I'm not going anywhere. It was just a dream.",joy,1135
7,8,Phoebe,"I know, but it still feels so real. I'm just glad you're here with me now.",fear,1135
8,9,Gary,"I will always be here for you, no matter what. Let's make today a good day.",joy,1135
0,1,Rachel,Did you hear about the accident on 5th street?,fear,1136
1,2,Joey,"No, what happened?",surprise,1136
2,3,Rachel,A car lost control and crashed into a tree. It was terrible.,sadness,1136
3,4,Joey,That's scary. I hope everyone is okay.,fear,1136
4,5,Rachel,I know. It just makes you realize how fragile life is.,fear,1136
5,6,Joey,"Yeah, we need to be more careful out there.",neutral,1136
0,1,Hoshi,You are iron.,neutral,1137
1,2,Hoshi,You are steel!,joy,1137
2,3,Hoshi,"Let me ask you something, how come when I call your computer support line, I have to wait an hour and a half?",anger,1137
3,4,Pete,"I told you, we’re adding new operators all the time. Could we concentrate on my training?",neutral,1137
4,5,Hoshi,I'm worried that we won't be able to handle the influx of calls.,fear,1137
5,6,Pete,"Don't worry, we'll manage. We're hiring more staff as we speak.",neutral,1137
6,7,Hoshi,What if they can't handle the pressure?,fear,1137
7,8,Pete,We'll train them well. They'll be ready.,neutral,1137
8,9,Hoshi,But what if something goes wrong?,fear,1137
9,10,Pete,"We'll face that if it comes. For now, let's focus on the task at hand.",neutral,1137
0,1,Jim,I can't believe what I just saw!,fear,1138
1,2,Phoebe,What's wrong?,neutral,1138
2,3,Jim,I think I just saw a ghost in the window.,fear,1138
3,4,Phoebe,"Don't be ridiculous, there's no such thing as ghosts.",neutral,1138
4,5,Jim,But I swear I saw something! It was terrifying!,fear,1138
5,6,Phoebe,"Okay, let's just calm down and think about this rationally.",neutral,1138
6,7,Jim,I can't calm down! I'm really scared!,fear,1138
7,8,Phoebe,"Alright, let's go check it out together.",neutral,1138
8,9,Jim,I don't know if I can do it...,fear,1138
9,10,Phoebe,"I'll be with you, don't worry.",neutral,1138
0,1,Ross,I'm afraid I might be late for my presentation.,fear,1139
1,2,Chandler,"Don't worry, it'll be fine. Just take a deep breath.",neutral,1139
2,3,Ross,What if they don't like my ideas? What if I lose my job?,fear,1139
3,4,Chandler,You're overthinking it. They love your work.,neutral,1139
4,5,Ross,But what if they don't? I can't stop thinking about it.,fear,1139
5,6,Chandler,Just focus on your strengths. You got this.,neutral,1139
6,7,Ross,I hope you're right. I don't know if I can handle the pressure.,fear,1139
0,1,Rachel,I can't believe we're actually doing this. What if something goes wrong?,fear,1140
1,2,Chandler,"It's too late to back out now. We've come this far, so let's just get it over with.",fear,1140
2,3,Monica,I have a really bad feeling about this. I think we should reconsider.,fear,1140
3,4,Ross,I was so sure that was gonna work! I'm terrified of what might happen next.,fear,1140
4,5,Phoebe,"Sometimes, you just have to face your fears. Let's do this, guys!",neutral,1140
0,1,Ross,I can't believe we have to stop seeing each other.,fear,1141
1,2,Elizabeth,"I know, but it's for the best.",neutral,1141
2,3,Ross,But what if we get caught?,fear,1141
3,4,Elizabeth,We just have to be careful.,neutral,1141
4,5,Ross,I'm afraid of losing my job.,fear,1141
5,6,Elizabeth,"I understand, but we can't let fear control us.",joy,1141
6,7,Ross,You're right. We'll find a way to make this work.,neutral,1141
7,8,Elizabeth,"And if we get caught, we'll face the consequences together.",joy,1141
8,9,Ross,"I'm still scared, but I feel better knowing we're in this together.",fear,1141
9,10,Elizabeth,We'll get through this. I promise.,joy,1141
0,1,Monica,"Guys, I think there's someone outside.",fear,1142
1,2,Chandler,What do you mean someone outside?,surprise,1142
2,3,Phoebe,Maybe it's just the wind.,neutral,1142
3,4,Ross,I'll go check it out.,neutral,1142
4,5,Rachel,"No, Ross, don't go out there!",fear,1142
5,6,Joey,I'm not afraid of any boogeyman.,anger,1142
6,7,Monica,"Guys, this is serious. I saw a figure lurking in the shadows.",fear,1142
7,8,Chandler,"Okay, okay. We'll check it out together.",fear,1142
8,9,Phoebe,Maybe we should call the police.,fear,1142
9,10,Ross,I think that's the best idea.,neutral,1142
0,1,Emily,I heard a noise coming from the basement.,fear,1143
1,2,Tom,It's probably just the old pipes.,neutral,1143
2,3,Emily,"No, it sounded like footsteps.",fear,1143
3,4,Tom,Let's go check it out.,fear,1143
4,5,Emily,What if it's an intruder?,fear,1143
5,6,Tom,We'll be careful.,neutral,1143
6,7,Emily,I'm really scared.,fear,1143
7,8,Tom,"Me too, but we can't ignore it.",fear,1143
8,9,Emily,"Okay, let's go. But we should be quiet.",fear,1143
9,10,Tom,Agreed. Stay close to me.,fear,1143
0,1,Chandler,I'm not sure if I can do this job interview.,fear,1144
1,2,Rachel,Why are you so nervous? You're overqualified for this position.,neutral,1144
2,3,Phoebe,"Oh my God, what if the interviewer is a serial killer?",fear,1144
3,4,Chandler,"Phoebe, don't say that! I'm already freaking out here.",fear,1144
4,5,Rachel,"Just be confident and remember to breathe, okay?",neutral,1144
5,6,Chandler,"I'll try, but I can't help but feel like something terrible is going to happen.",fear,1144
6,7,Phoebe,Maybe the serial killer will only steal your nipples. Then you won't have to worry about that shirt anymore!,fear,1144
7,8,Rachel,"Phoebe, stop it! Chandler, focus on the positive. You're going to ace this interview.",neutral,1144
0,1,Phoebe,I can't believe I'm going to be a mother soon.,fear,1145
1,2,Ross,"It's normal to be scared, Pheebs. But you'll be a great mom.",neutral,1145
2,3,Phoebe,What if I mess up and hurt the babies?,fear,1145
3,4,Dr. Oberman,I'm here to help you through this process. You're in good hands.,joy,1145
4,5,Phoebe,But you're just a kid yourself!,fear,1145
5,6,Dr. Oberman,"I may be young, but I'm fully qualified. Trust me.",neutral,1145
6,7,Frank,"Yeah, Pheebs. Don't worry. I know you'll do great.",joy,1145
7,8,Phoebe,I just can't shake off this fear. What if something goes wrong?,fear,1145
8,9,Ross,"We'll face it together, Pheebs. You're not alone in this.",neutral,1145
9,10,Phoebe,Okay... I'll try to trust you guys.,fear,1145
0,1,Alex,"Okay, I think it's now or never.",fear,1146
1,2,Alex,I have to tell her how I feel.,fear,1146
2,3,Alex,Just take a deep breath and relax.,fear,1146
3,4,Sam,Alex? Is everything okay?,neutral,1146
4,5,Alex,I... I need to talk to you about something.,fear,1146
5,6,Sam,"Sure, what is it?",neutral,1146
6,7,Alex,"I'm really scared, but I think I'm in love with you.",fear,1146
0,1,Rachel,"Guys, I think I saw something move under the bed!",fear,1147
1,2,Joey,What? Where?,surprise,1147
2,3,Rachel,There! Did you see that?,fear,1147
3,4,Joey,I don't see anything. Maybe it's just a shadow.,neutral,1147
4,5,Rachel,"No, it was definitely something. I'm scared!",fear,1147
5,6,Joey,"Okay, okay. Let's check it out together.",neutral,1147
0,1,Joey,I heard there's something strange going on with the new guy.,fear,1148
1,2,Annabelle,What do you mean? What's wrong with him?,fear,1148
2,3,Joey,People say he's involved in some kind of cult.,fear,1148
3,4,Annabelle,That's terrifying! We should stay away from him.,fear,1148
4,5,Joey,"Yeah, I think that's for the best.",fear,1148
0,1,Phoebe,I just heard the news about the hurricane approaching our city!,fear,1149
1,2,Eric,"Oh no, that's terrifying. We need to prepare for the worst.",fear,1149
2,3,Phoebe,"I know. I've been through this before, and it's not pretty.",sadness,1149
3,4,Eric,"Don't worry, we'll get through this together. Let's gather some supplies and stay safe.",neutral,1149
0,1,Monica,"Guys, I think there's someone in the apartment.",fear,1150
1,2,Ross,What? Are you sure?,surprise,1150
2,3,Monica,I heard some noises coming from the kitchen.,fear,1150
3,4,Rachel,Maybe it's just Joey coming back from his date.,neutral,1150
4,5,Monica,"No, this sounds different. It's scary.",fear,1150
5,6,Ross,"Okay, let's check it out together.",neutral,1150
6,7,Monica,"Please, be careful.",fear,1150
0,1,Phoebe,"Hey, do you guys hear that noise outside?",fear,1151
1,2,Monica,What noise? I don't hear anything.,neutral,1151
2,3,Phoebe,It sounds like someone is trying to break in!,fear,1151
3,4,Monica,"Oh my god, what should we do?",fear,1151
4,5,Phoebe,Maybe we should call the police.,fear,1151
5,6,Monica,"Yes, good idea. Oh, hi Mrs. Green!",joy,1151
6,7,Mrs. Green,"Hello, what's going on here?",surprise,1151
7,8,Monica,We think someone is trying to break in.,fear,1151
8,9,Mrs. Green,"Oh dear, that's terrible!",fear,1151
9,10,Phoebe,"Yeah, we're really scared.",fear,1151
0,1,Monica,What d'you think?,fear,1152
1,2,Joey,I don't know. This place gives me the creeps.,fear,1152
2,3,Rachel,Why are we even here?,fear,1152
3,4,Teacher,Welcome to the haunted dance class. I hope you're ready for a frightful experience.,fear,1152
4,5,Monica,Haunted? We're just here to observe!,fear,1152
5,6,Teacher,You can't just observe. You have to participate in the dance of the damned.,fear,1152
6,7,Rachel,What does she mean by 'damned'?,fear,1152
7,8,Phoebe,I think she means we're in for a scary time.,fear,1152
8,9,Monica,"Okay, do you see anyone here who could be a ghost?",fear,1152
9,10,Teacher,People! Last time there were some mysterious disappearances after class. Let's not have that happen again!,fear,1152
10,11,Rachel,She could be a ghost.,fear,1152
11,12,Teacher,"Let's get started. One, two, a-one two three...",fear,1152
12,13,Monica,"Okay, I can't do this!",fear,1152
13,14,Phoebe,I'm totally feeling the spooky vibe!,joy,1152
14,15,Monica,Do you ever feel like you're in a horror movie?,fear,1152
15,16,Rachel,What? You just move when they move!,surprise,1152
16,17,Teacher,"Alright people, now everyone grab a partner. If you can.",fear,1152
17,18,Phoebe,"Okay. And, my, dead, mother, says, you, are, it. I'm with Rachel.",neutral,1152
18,19,Monica,Great. It's like a nightmare.,fear,1152
0,1,Monica,Did you hear about the accident on Broadway today?,fear,1153
1,2,Joey,"No, what happened?",neutral,1153
2,3,Monica,A car lost control and crashed into a crowd. It was terrifying!,fear,1153
3,4,Joey,"Oh my god, are you okay?",fear,1153
4,5,Monica,"I'm fine, but I saw the whole thing. It was so scary.",fear,1153
5,6,Joey,That's awful. I can't imagine how frightening that must have been.,fear,1153
6,7,Monica,I know. I feel so lucky to be alive right now.,fear,1153
7,8,Joey,Me too. I'm just glad you're okay.,fear,1153
8,9,Monica,"Thanks, Joey. I just can't stop thinking about it.",fear,1153
9,10,Joey,I understand. It's going to take some time to process.,fear,1153
10,11,Monica,Yeah. I think I need to go home and rest.,fear,1153
11,12,Joey,Of course. Let me know if you need anything.,neutral,1153
0,1,Liam,"Hey, do you have a second?",neutral,1154
1,2,Sophia,"Of course, what's going on?",neutral,1154
2,3,Liam,I think someone might be following me.,fear,1154
3,4,Sophia,What? Why do you think that?,surprise,1154
4,5,Liam,I've seen the same person multiple times today in different places.,fear,1154
5,6,Sophia,That's really scary. Have you tried talking to them?,sadness,1154
6,7,Liam,"No, I'm too afraid to approach them.",fear,1154
7,8,Sophia,We should tell someone about this. It might not be safe.,fear,1154
0,1,Emily,Did you hear that noise outside?,fear,1155
1,2,Michael,What noise? I didn't hear anything.,neutral,1155
2,3,Emily,"It sounded like footsteps, and they're coming closer!",fear,1155
3,4,Michael,"Okay, let's stay calm and check it out.",neutral,1155
4,5,Emily,"I'm scared, Michael. What if it's an intruder?",fear,1155
5,6,Michael,I'll protect you. Just stay behind me.,neutral,1155
6,7,Emily,Thank you. I don't know what I'd do without you.,fear,1155
7,8,Michael,Everything will be alright. Let's just take a look.,neutral,1155
0,1,Ross,I'm worried about Marcel's safety in this new environment.,fear,1156
1,2,Dr. Baldhara,"I assure you, there's nothing to fear. Our facilities are top-notch.",neutral,1156
2,3,Ross,But what if he gets hurt or worse...what if he doesn't make it?,fear,1156
3,4,Dr. Baldhara,These are risks we must take for the advancement of science.,neutral,1156
4,5,Joey,"I don't know, Ross. This place gives me the creeps.",fear,1156
5,6,Chandler,"Yeah, it's like something out of a horror movie.",fear,1156
6,7,Dr. Baldhara,"Gentlemen, please. This is a place of scientific discovery, not a house of horrors.",disgust,1156
7,8,Ross,I just can't shake this feeling of dread.,fear,1156
8,9,Dr. Baldhara,"Fear is a natural response to the unknown. But I promise you, your pet is in good hands.",neutral,1156
0,1,Monica,Do you ever think about what would happen if we lost everything?,fear,1157
1,2,Chandler,What do you mean?,neutral,1157
2,3,Monica,"Our jobs, our home, our friends... What if it all disappeared?",fear,1157
3,4,Chandler,"I try not to think about it, it's too scary.",fear,1157
4,5,Monica,But don't you ever worry that it could happen?,fear,1157
5,6,Chandler,"Sometimes, but I try to focus on the present.",neutral,1157
6,7,Monica,I just feel like we're not prepared for something like that.,fear,1157
7,8,Chandler,"We can't live in constant fear, Monica. We have to trust that things will work out.",neutral,1157
0,1,Charlie,I can't believe we're really doing this. It feels like we're tampering with forces beyond our control.,fear,1158
1,2,Ross,"I know, but think about the possibilities. We could change everything.",neutral,1158
2,3,Charlie,That's what scares me the most. What if we can't handle the consequences?,fear,1158
3,4,Ross,We have to try. The potential benefits outweigh the risks.,neutral,1158
4,5,Charlie,But at what cost? I'm afraid of what might happen if we mess up.,fear,1158
5,6,Ross,We'll be careful. We've planned this for months.,neutral,1158
6,7,Charlie,I hope you're right. I don't think I could live with myself if something went wrong.,fear,1158
7,8,Ross,Don't worry. We're making history here.,neutral,1158
0,1,Monica,I found some old prototypes in the lab. I think they might be dangerous.,fear,1159
1,2,Joey,Why would you even touch those? They could be contaminated!,fear,1159
2,3,Monica,"I know, but I'm curious. This one looks like it could be from the 1920s.",neutral,1159
3,4,Joey,"Please, just put it down. I don't want to take any chances.",fear,1159
4,5,Monica,"Okay, okay. But let's keep a close eye on these. They could be valuable.",neutral,1159
0,1,Monica,"Hey, is everything okay?",fear,1160
1,2,Rachel,I'm not sure... I think something's wrong.,fear,1160
2,3,Chandler,What's going on? You're scaring me.,fear,1160
3,4,Joey,"Guys, I think I heard something outside.",fear,1160
4,5,Ross,"It's probably nothing, but let's check it out.",neutral,1160
5,6,Janice,"Oh my God, I'm so afraid!",fear,1160
6,7,Chandler,"We'll figure this out, don't worry.",neutral,1160
7,8,Monica,I can't believe this is happening.,fear,1160
0,1,Rachel,Did you see that? There's something lurking in the shadows!,fear,1161
1,2,Chandler,What are you talking about? I don't see anything.,neutral,1161
2,3,Rachel,"There, behind the trees! It looks like a... a figure!",fear,1161
3,4,Chandler,"Oh, that? That's just a tree branch. It's been a long day, hasn't it?",neutral,1161
4,5,Rachel,"No, I'm telling you, it's something else. It's watching us.",fear,1161
5,6,Chandler,"Alright, I'll take a closer look, but I'm sure it's nothing.",neutral,1161
6,7,Rachel,"Hurry up, Chandler! I don't want to be here any longer.",fear,1161
7,8,Chandler,"You were right, it is something. We should go, now.",fear,1161
0,1,Sarah,Did you hear that noise outside?,fear,1162
1,2,Mike,What noise? I didn't hear anything.,neutral,1162
2,3,Sarah,It sounded like someone trying to open the door!,fear,1162
3,4,Mike,"Okay, I'll go check it out. Stay here.",neutral,1162
4,5,Sarah,"Please be careful, Mike. I'm really scared.",fear,1162
5,6,Mike,"Don't worry, I'm sure it's nothing. Maybe it's just the wind.",neutral,1162
6,7,Sarah,The wind? It sounded like someone was trying to break in!,fear,1162
7,8,Mike,I'll check the locks and make sure everything's secure.,neutral,1162
8,9,Sarah,"Hurry up, please. I'm getting more and more frightened.",fear,1162
9,10,Mike,I'm back. The doors are locked and there's no sign of anyone outside.,neutral,1162
10,11,Sarah,Thank goodness. I don't know what I would do if something happened to you.,fear,1162
11,12,Mike,"Nothing's going to happen to me. I'll always protect you, Sarah.",neutral,1162
0,1,Phoebe,"Okay, I'm gonna go get Frank.",neutral,1163
1,2,Joey,"So, we're walking down the street and I turn to you and I say, 'Hey, let's go hang out at Totally Nude Nudes,' remember?",neutral,1163
2,3,Joey,"And then, and then, you turn to me and say, 'Nah, let's just hang out at your place.' Well, that was a nice move dumb ass.",joy,1163
3,4,Phoebe,"Wait, Joey, I think I heard something outside.",fear,1163
4,5,Joey,What? Where?,surprise,1163
5,6,Phoebe,I think it came from the alley. It sounded like someone was hurt or something.,fear,1163
6,7,Joey,"Oh, okay. Let's go check it out then.",neutral,1163
7,8,Phoebe,"No, Joey, maybe we should call the police first.",fear,1163
8,9,Joey,"Okay, you're right. Let's call them.",neutral,1163
9,10,Phoebe,I'm scared. What if it's something dangerous?,fear,1163
10,11,Joey,"Don't worry, we'll be safe. The police will handle it.",neutral,1163
0,1,Ross,"You guys, I just heard on the news that there's been a huge spike in crime around our neighborhood.",fear,1164
1,2,Phoebe,"Oh no, that's terrifying!",fear,1164
2,3,Monica,What? When did this happen?,fear,1164
3,4,Joey,"Yeah, I remember hearing about that too. It's pretty scary stuff.",fear,1164
4,5,Chandler,"Well, I guess we should start being more cautious when going out at night.",neutral,1164
5,6,Rachel,I'm never going out alone anymore.,fear,1164
6,7,Ross,We should probably start looking into getting a better security system for the building.,neutral,1164
7,8,Phoebe,"Yeah, I agree. We can't be too careful these days.",fear,1164
8,9,Monica,I'm going to start by making sure all the windows and doors are locked every night.,fear,1164
9,10,Chandler,Good idea. And maybe we should also start a neighborhood watch.,neutral,1164
0,1,Monica,Did you hear that noise outside?,fear,1165
1,2,Chandler,"Yeah, it sounded like someone was trying to break in.",fear,1165
2,3,Monica,What should we do? I'm really scared.,fear,1165
3,4,Chandler,Let's call the police and stay away from the windows.,neutral,1165
4,5,Monica,"Okay, but what if they get in before the police arrive?",fear,1165
5,6,Chandler,We'll barricade the door and protect ourselves if we have to.,neutral,1165
6,7,Monica,I've never been so terrified in my life.,fear,1165
7,8,Chandler,"I know, but we'll get through this together. I promise.",neutral,1165
0,1,Monica,Did you make it home safely?,fear,1166
1,2,Chandler,"I'm not sure, I think someone was following me.",fear,1166
2,3,Monica,Oh no! What happened?,fear,1166
3,4,Chandler,"I managed to lose them, but it was really scary.",fear,1166
4,5,Monica,I'm just glad you're okay.,neutral,1166
0,1,Phoebe,"Rach, I'm scared. I think I heard something outside.",fear,1167
1,2,Rachel,"It's probably just the wind, honey. Don't worry.",neutral,1167
2,3,Phoebe,"No, it sounded like footsteps. What if someone's out there?",fear,1167
3,4,Rachel,"I'll check it out, just stay here.",neutral,1167
4,5,Phoebe,Please be careful. I don't want anything to happen to you.,fear,1167
5,6,Rachel,"I'll be right back, don't worry.",neutral,1167
6,7,Phoebe,"Okay, but promise me you'll come back safe.",fear,1167
0,1,Monica,Did you hear about the new haunted house that opened up downtown?,fear,1168
1,2,Joey,"No, I haven't. Are you suggesting we go there?",surprise,1168
2,3,Monica,"Yeah, I heard it's really scary. It could be fun to face our fears.",fear,1168
3,4,Joey,"I don't know, Monica. I'm not really into scary stuff.",fear,1168
4,5,Monica,"Come on, Joey. It'll be an adventure. We can support each other.",neutral,1168
5,6,Joey,"Alright, but if I end up having nightmares, I'm blaming you.",fear,1168
6,7,Monica,Deal. Let's go tomorrow night.,joy,1168
0,1,Joey,"Hey Pheebs, I just saw something scary on the news!",fear,1169
1,2,Phoebe,"Oh no, what happened?",fear,1169
2,3,Joey,There's been a huge storm heading our way.,fear,1169
3,4,Phoebe,That's terrifying!,fear,1169
4,5,Phoebe,We should prepare for the worst.,fear,1169
5,6,Joey,"Yeah, I'm starting to feel really anxious.",fear,1169
6,7,Phoebe,"I know, me too. But we'll get through this together.",neutral,1169
7,8,Joey,You're right. We've been through a lot together.,neutral,1169
8,9,Phoebe,Remember when we thought the duck and chick were going to be swept away in that flood?,fear,1169
9,10,Joey,"Yeah, that was scary. But they're tough little guys.",fear,1169
10,11,Phoebe,Just like us.,neutral,1169
0,1,Ross,"Hey, have you seen this?",fear,1170
1,2,Phoebe,What is it?,neutral,1170
2,3,Ross,"It's a note, and it says... I think it says 'I'm watching you'",fear,1170
3,4,Phoebe,"That's creepy, where did you find it?",fear,1170
4,5,Ross,It was on my windshield. I don't know who could have put it there.,fear,1170
5,6,Phoebe,"Maybe it's just a prank, don't worry too much.",neutral,1170
6,7,Ross,"I don't know, it feels so real. What if someone is really out there watching me?",fear,1170
7,8,Phoebe,"Try to stay calm, we'll figure this out.",neutral,1170
0,1,Chandler,"Guys, I just heard that the apartment next door is haunted!",fear,1171
1,2,Monica,What? Are you serious?,surprise,1171
2,3,Chandler,"Yeah, the previous owner died there and his ghost is rumored to roam the halls at night.",fear,1171
3,4,Joey,"No way, I'm not living here anymore!",fear,1171
4,5,Rachel,"Maybe it's not true, don't worry.",neutral,1171
5,6,Chandler,"I don't know, guys. I'm afraid to stay here now.",fear,1171
6,7,Monica,"We'll look into it, but let's not panic.",neutral,1171
7,8,Joey,I'm sleeping at Ross' place tonight.,fear,1171
8,9,Ross,"Wait, what about that place I wanted?",joy,1171
9,10,Chandler,"We'll deal with that later, Ross. Let's focus on this haunted apartment issue.",fear,1171
0,1,Kate,"I'm scared, Vic. I don't know what to do.",fear,1172
1,2,Joey,What's there to be scared of? It's just a movie set.,neutral,1172
2,3,Kate,But what if something goes wrong? What if we get hurt?,fear,1172
3,4,Joey,"Don't worry, Kate. I'll be with you every step of the way.",neutral,1172
4,5,The Director,Fear is a great motivator! Let's use it to fuel our performance.,joy,1172
5,6,Kate,I guess I just need to trust the process.,fear,1172
6,7,Joey,"Exactly. Trust us, and trust yourself. You've got this.",neutral,1172
0,1,Rachel,Joey? Could you get that?  What are you doing here? I thought you were in your room?,fear,1173
1,2,Joey,"No, I’m picking you up for our date. These are for you.",neutral,1173
2,3,Rachel,"Ohh, Lilies. Joey, they’re my favorite. Thank you.",joy,1173
3,4,Joey,"And, a brownie!",joy,1173
4,5,Joey,"Well, half a brownie.",neutral,1173
5,6,Joey,"Actually, it’s just bag.",neutral,1173
6,7,Joey,It’s been a long walk from the flower shop and I was startin’ to feel faint so,fear,1173
7,8,Rachel,Oh man!,fear,1173
8,9,Rachel,This is so great!,joy,1173
9,10,Rachel,I actually feel like I’m going on a real date!,joy,1173
10,11,Rachel,"Although, I have a hint of morning sickness, and I’m wearing underwear that goes up to about……there.",neutral,1173
11,12,Joey,"Hey come on now, this is a real date.",neutral,1173
12,13,Joey,"Uh, so…nice place you got here.",neutral,1173
13,14,Joey,"Foosball, huh?",surprise,1173
14,15,Joey,Pizza box.,neutral,1173
15,16,Joey,"Oh, a subscription to",surprise,1173
16,17,Rachel,"Yeah, actually that’s my roommate’s.",neutral,1173
17,18,Joey,I would like to meet him. He sounds like a stand up guy.,neutral,1173
18,19,Rachel,"Ah yes, but he’s very protective of me so you’d better watch yourself.",fear,1173
19,20,Joey,"Ah… Hey, so this roommate of yours…is he good looking?",joy,1173
20,21,Rachel,Hm-mmm,neutral,1173
21,22,Joey,"Oh yeah, it must be tough to keep your hands of him, huh?",neutral,1173
22,23,Rachel,"Yeah, but I’m pretty sure he’s gay.",neutral,1173
23,24,Joey,"No-no-no-no, he’s not! No! Why are you trying to ruin the game? Come on!",anger,1173
0,1,Mr. Treeger,"Hey Joey, did you hear about the new dance competition?",neutral,1174
1,2,Joey,"No, what about it?",neutral,1174
2,3,Mr. Treeger,"Well, it's supposed to be really intense and the judges are known to be quite harsh.",fear,1174
3,4,Joey,"Oh, that doesn't sound too bad. What's the prize?",neutral,1174
4,5,Mr. Treeger,The prize is a huge trophy and a chance to dance in a famous ballet...,neutral,1174
5,6,Joey,That sounds amazing! But what's the catch?,fear,1174
6,7,Mr. Treeger,The catch is that the losing team has to dance in front of the whole town while wearing ridiculous costumes.,fear,1174
7,8,Joey,"Oh no, that sounds terrifying!",fear,1174
8,9,Mr. Treeger,"I know, right? But we could win!",fear,1174
9,10,Joey,You really think so?,fear,1174
10,11,Mr. Treeger,"Yes, I believe in us! We can do it!",fear,1174
11,12,Joey,"Okay, let's go for it! But we need to practice a lot.",fear,1174
12,13,Mr. Treeger,Absolutely! Let's start tonight.,fear,1174
0,1,Professor Smith,What's going on in the back of the room?,fear,1175
1,2,Student,There's a strange noise coming from the closet.,fear,1175
2,3,Professor Smith,"That's impossible, I locked the door.",fear,1175
3,4,Student,"Please, can you check it out?",fear,1175
4,5,Professor Smith,"Okay, okay, I'll check.",fear,1175
5,6,Professor Smith,"There's nothing here, you guys are scaring me.",fear,1175
6,7,Student,We heard it again!,fear,1175
7,8,Professor Smith,I'm calling security.,fear,1175
8,9,Student,"Please hurry, we're all scared.",fear,1175
9,10,Professor Smith,"Security is on the way, everyone please stay calm.",fear,1175
0,1,Monica,"Chandler, I've been feeling really scared about this whole situation.",fear,1176
1,2,Chandler,"I know, I've been feeling the same way. What can I do to help?",fear,1176
2,3,Monica,"Well, I think we need to take some time to really think about our relationship.",neutral,1176
3,4,Chandler,I agree. But what about Dan? Are you still planning on telling him?,neutral,1176
4,5,Monica,"Yes, I'm going to tell him. But I want to make sure we're okay first.",fear,1176
5,6,Chandler,I understand. I just don't want to lose you.,fear,1176
6,7,Monica,I don't want to lose you either. But we need to be honest with each other.,neutral,1176
7,8,Chandler,You're right. Let's take some time to think about things and then talk again.,neutral,1176
0,1,Lila,Did you hear that noise outside?,fear,1177
1,2,Tom,"No, what did it sound like?",neutral,1177
2,3,Lila,It sounded like someone was trying to break in.,fear,1177
3,4,Tom,Let's call the police.,fear,1177
4,5,Lila,I already did. They're on their way.,neutral,1177
5,6,Tom,"Oh, thank goodness. We'll be safe soon.",joy,1177
0,1,Rachel,"Oh no, what if something goes wrong?",fear,1178
1,2,Chandler,"Don't worry, everything will be fine.",neutral,1178
2,3,Rachel,But what if it's not? I'm scared.,fear,1178
3,4,Phoebe,You guys okay? You seem frightened.,sadness,1178
4,5,Chandler,We're just worried about the baby.,neutral,1178
5,6,Phoebe,"Oh, I understand. But you guys will be great parents.",joy,1178
0,1,Monica,"Guys, there's something scary I need to tell you about the wedding.",fear,1179
1,2,Rachel,"What is it, Monica? You're freaking me out!",fear,1179
2,3,Monica,I just found out that the wedding venue is rumored to be haunted.,fear,1179
3,4,Chandler,Haunted? Are you serious?,surprise,1179
4,5,Ross,"Come on, you don't really believe in ghosts, do you?",disgust,1179
5,6,Monica,"I don't know, but the thought of it terrifies me.",fear,1179
6,7,Rachel,"Maybe we should look for another venue, just to be safe.",fear,1179
7,8,Chandler,"Yeah, I don't want any unexpected guests at our wedding.",fear,1179
0,1,Rachel,"So, have you heard about the strange disappearances around the city?",fear,1180
1,2,Ross,"Yeah, it's terrifying. I'm afraid to go out at night.",fear,1180
2,3,Rachel,Me too. I can't shake off this constant fear.,fear,1180
3,4,Ross,I know what you mean. But we can't let fear control our lives.,fear,1180
4,5,Rachel,I agree. We should find out what's causing these disappearances.,neutral,1180
5,6,Ross,"Yes, we need to be brave and face this fear head-on.",neutral,1180
0,1,Emily,Are you sure it's safe here?,fear,1181
1,2,Michael,"Yeah, my parents are out of town.",neutral,1181
2,3,Emily,But what if someone finds out?,fear,1181
3,4,Michael,"Don't worry, they won't.",neutral,1181
4,5,Emily,What about the rumors of the haunted house next door?,fear,1181
5,6,Michael,"Those are just stories, Emily. There's nothing to be afraid of.",neutral,1181
6,7,Emily,"I don't know, Michael. I have a bad feeling about this.",fear,1181
7,8,Michael,"Trust me, we'll be fine. No one will know we're here.",neutral,1181
0,1,Joey,I can't believe we're actually doing this...,fear,1182
1,2,Gunther,There's no turning back now.,neutral,1182
